0|1499630677.9694772|Они , возможно , и были __суровые__ и уж точно не чурались грабежей , но от одиночества  в своих дальних походах не страдали .
0|1499630850.1389763|__исследователь__ из парижского Института Жака Моно __проанализировал__ ДНК 290 котов из  30 археологических памятников , разбросанных по разным уголкам планеты : по Европе , Ближнему Востоку и Африке .
0|1499630850.1389763|__исследователь__ из парижского Института Жака Моно __проанализировал__ ДНК 290 котов из 30 археологических памятников , разбросанных по  разным уголкам планеты : по Европе , Ближнему Востоку и Африке .
0|1499631212.430482| Так что хвостатые охранники сначала __распространились__ по миру вслед за __мотыгой__ и __серпом__ .
0|1499631212.430482|Так что  хвостатые охранники сначала __распространились__ по миру вслед за __мотыгой__ и __серпом__ .
0|1499631853.2336137|Так , __кошачие__ останки были найдены в погребении __скандинавов__ в северной Германии .
0|1499632010.245057|Судя по их __размерам__ , это были домашние животные .
0|1499632108.9593365|Кроме того , коты часто фигурируют  в скандинавской мифологии : они __тащили__ на себе колесницу богини __любови__ Фрейи , а у Локи из Утгарда был настолько большой  кот , что его не мог поднять сам Тор .
0|1499632108.9593365|Кроме  того , коты часто __фигурировали__ в скандинавской мифологии : они __тащили__ на себе колесницу богини __любови__ Фрейи , а у Локи  из Утгарда был настолько большой кот , что его не мог поднять сам Тор .
0|1499632108.9593365|Кроме того , коты часто __фигурировали__ в скандинавской мифологии : они __тащили__ на себе колесницу богини  любви Фрейи , а у Локи из Утгарда был настолько большой кот , что его не мог поднять сам Тор .
0|1499689649.6268506|__человеком__ , __сделанное__ открытие .
1|1512384707.6885302|Только они разговаривали не просто , как другие ребята , а рассказывали друг другу  разные небылицы , будто пошли на спор , кто кого __переврать__ .
1|1512384831.8767068|__знал__ , — __говорил__ Мишутка , — раньше я был большой-большой  , как дядя Боря , а потом сделался маленький .
1|1512384831.8767068|— __спрашивал__ Мишутка .
1|1512384831.8767068|__знал__ , — __говорил__ Мишутка , — раньше я был большой-большой , как дядя  Боря , а потом сделался маленький .
2|1513007705.0127184|Художник Валентин Александрович Серов ( 1865-1911  ) вошел в историю русской __живописяки__ как автор __портрета__ и __пейзажа__ , исторических и жанровых картин , картин на мифологические сюжеты  .
2|1513007705.0127184|Художник Валентин Александрович Серов  ( 1865-1911 ) вошел в историю русской __живописяки__ как автор __портрета__ и __пейзажа__ , исторических и жанровых картин , картин на  мифологические сюжеты .
3|1517755241.3431962|Лидерами __рейтингу__ стали Гонконг , Сингапур , Испания , Южная Корея и  Япония .
3|1517755241.3431962|Перед ней в списке находятся  Бразилия , Азербайджан , Колумбия , Иордания и США , __которая__ занимают 54-50-ую строчки соответственно .
3|1517755241.3431962|Перед ней __ко__ списке __находится__ Бразилия , Азербайджан , Колумбия , Иордания и США ,  которые занимают 54-50-ую строчки соответственно .
3|1517755462.0000734|В России средняя продолжительность жизни - 70 , 37 __годов__ , на медицину тратится 7 , 07 % ВВП или  893 доллара .
3|1517755462.0000734|В России средняя продолжительность жизни - 70 , 37 года ,  на медицину тратится 7 , 07 % ВВП или 893 __долларов__ .
3|1517755462.0000734|При составлении индекса учитывались средняя продолжительность жизни , доля ВВП на душу населения  , которая тратится на здравоохранение , и она же в __абсолютное__ выражении .
3|1517847762.4854786|Эти реформы прямо противоречат __цели__ , __обозначенной__ Президентом страны В .
4|1518114799.2919805|Именно поэтому в развитых странах из государственных источников в __системе__ здравоохранения вкладывается более семи процентов валового __внутренного__ продукта ( ВВП  ) .
4|1518114996.5979211|Если в две тысячи пятнадцатом году __госрасход__ на здравоохранение в ценах две тысячи тринадцатого года сократились на  двадцать процентов , то соответственно на столько же снизился и объем бесплатных услуг , как следствие , упала доступность медицинской помощи и возросла смертность .
5|1518086383.5175776|Тут пришел соседский Игорь и сел рядом на __скамеечку__ .
5|1518086558.9309065|__говоришь__ — чего проще !
5|1518079624.8441756|Сейчас мы уже понимаем , что наши прежние представления о викингах как  об одиноких , суровых грабителях и налетчиках , несколько не __соответствовали__ действительности .
5|1518079928.7600763|__исследователь__ из парижского Института Жака Моно __проанализировал__ ДНК 290 котов из  30 археологических памятников , разбросанных по разным уголкам планеты : по Европе , Ближнему Востоку и Африке .
5|1518079928.7600763|__исследователь__ из парижского Института Жака Моно __проанализировал__ ДНК 290 котов из 30 археологических памятников , разбросанных по  разным уголкам планеты : по Европе , Ближнему Востоку и Африке .
5|1518080214.484455| Так что хвостатые охранники сначала распространялись по миру вслед за __мотыгой__ и __серпом__ .
5|1518080214.484455|Так что  хвостатые охранники сначала распространялись по миру вслед за __мотыгой__ и __серпом__ .
5|1518080974.0962627|Так , кошачьи останки были найдены в погребении __скандинавов__ в северной Германии .
5|1518081051.524832|Иначе , как на __бортах__ драккаров они туда попасть не могли .
6|1518023492.2040176|Такой рост смертности в наше мирное время - прямое следствие сокращения доступности и качества медицинской помощи в результате неправильного выбранного вектора реформ в  отрасли ( сокращение коек и медицинских кадров , отчуждение зданий __здравоохранение__ , наращивание платных медицинских услуг ) .
6|1518023492.2040176|Такой рост смертности __к__ наше __мирной__ __времени__ - прямое следствие сокращения доступности и качества медицинской помощи  в результате неправильного выбранного вектора реформ в отрасли ( сокращение коек и медицинских кадров , отчуждение зданий здравоохранения , наращивание платных медицинских услуг ) .
6|1518023492.2040176|Такой рост смертности __к__ наше __мирной__ __времени__ - прямое следствие сокращения доступности и качества медицинской помощи в  результате неправильного выбранного вектора реформ в отрасли ( сокращение коек и медицинских кадров , отчуждение зданий здравоохранения , наращивание платных медицинских услуг ) .
6|1518023492.2040176|Путиным в майских указах две тысячи двенадцатого  года , – снизить смертность населения , тем самым увеличить __ожидать__ продолжительность жизни граждан ( ОПЖ ) __в__ две тысячи __восемнадцатом__  году до семидесяти четырех лет .
6|1518023492.2040176|Эти реформы прямо __противоречили__ целям , обозначенным Президентом страны В .
6|1518023492.2040176|Путиным в майских указах две тысячи двенадцатого года , – снизить смертность населения , тем самым увеличить  __ожидать__ продолжительность жизни граждан ( ОПЖ ) __в__ две тысячи __восемнадцатом__ году до семидесяти четырех лет .
6|1518024500.159157|Для справки – за весь период Великой Отечественной войны  естественная смертность взрослого населения Советского Союза по сравнению с мирным __временам__ возросла всего на тринадцать процентов .
6|1518023568.194959|Да потому , что в __представлении__ многих руководителей и в Правительстве , и в отрасли __здравоохранения__  бытуют мифы или заблуждения .
6|1518023568.194959|Да потому , что в  __представлении__ многих руководителей и в Правительстве , и в отрасли __здравоохранения__ бытуют __мифа__ или __заблуждение__ .
6|1518023568.194959|Да потому , что в представлениях многих  руководителей и в Правительстве , и в отрасли __здравоохранения__ бытуют __мифа__ или __заблуждение__ .
6|1518023568.194959|Да потому , что в представлениях многих руководителей и  в Правительстве , и в отрасли __здравоохранения__ бытуют __мифа__ или __заблуждение__ .
6|1518023648.0057003|, и за несколько месяцев мы __получили__ уровень смертности как в девятнадцатом веке .
6|1518024889.570406|Именно поэтому в развитых странах из государственных источников в __системе__ здравоохранения вкладывается более семи процентов валового внутреннего продукта ( ВВП  ) .
6|1518023921.0345988|Если в две тысячи пятнадцатом году госрасходы на здравоохранение в ценах две тысячи тринадцатого года  сократились на двадцать процентов , то соответственно на столько же __снизились__ и объем __бесплатныых__ услуг , как следствие , упала доступность  медицинской помощи и возросла смертность .
7|1518103017.9093723|Но у меня все __дня__ тяжелые – и понедельник , и вторник , и среда  , и четверг , и пятница .
7|1518103084.3075125|В __этом__ воскресенье я была у __бабушке__ , а потом у __подруге__  .
7|1518103084.3075125|В это воскресенье я была у бабушки , а потом у подруги  __этом__ воскресенье я была у __бабушке__ , а потом у __подруге__ .
7|1518103084.3075125|В __этом__ воскресенье я была у __бабушке__ , а потом у __подруге__ .
7|1518103224.6794562|В __этом__ воскресенье я была у бабушки , а потом у подруги  .
7|1518102174.0629058|А потом __экзамен__ .
7|1518102174.0629058|Я знаю , что экзамен по __лингвистикой__ ужасно трудный !
7|1518102174.0629058| Я помню , что в прошлом году несколько человек его __провали__ .
7|1518102174.0629058|И __были__ много __тройки__ .
7|1518102524.3079348|И __были__ много __тройек__ .
7|1518102524.3079348| Я помню , что в прошлом году несколько человек его __провали__ .
7|1518102874.4020774|И __были__ много троек .
7|1518102874.4020774| Я помню , что в прошлом году несколько человек его __провали__ .
7|1518102021.0341785|Как всегда , лекции и __занятии__ у меня каждый день !
7|1518101873.99699|Я уже __начинала__ нервничать .
7|1518101873.99699|Мне еще надо сдать несколько переводов и два __рефераты__ .
7|1518101873.99699|А еще я работаю в __юридическом__ фирме – перевожу документы с английского на русский .
7|1518102484.3051703|Мне еще надо сдать несколько __перевода__ и два реферата .
7|1518101946.2027667|Я знаю , что экзамен по __лингвистику__ ужасно трудный !
7|1518101946.2027667|И __были__ много __тройки__ .
7|1518101946.2027667| Я помню , что в прошлом году несколько человек его __провали__ .
7|1518102709.529312|Я знаю , что экзамен по __лингвистики__ ужасно трудный !
7|1518102709.529312|И __были__ много __тройек__ .
7|1518102709.529312| Я помню , что в прошлом году несколько человек его __провали__ .
7|1518101983.985503|Но , правда , они больше __гуляют__ , чем готовились к экзамену .
7|1518102434.028468|И  кроме того , по вторникам и четвергам я хожу на __семинар__ по __философие__ , а в пятницу на __консультацию__ к профессору  Янкову .
7|1518102434.028468|И кроме того , по вторникам и четвергам я  хожу на __семинар__ по __философие__ , а в пятницу на __консультацию__ к профессору Янкову .
7|1518102628.6668384|И  кроме того , по вторникам и четвергам я хожу на __семинар__ по __философие__ , а в пятницу на консультации к профессору  Янкову .
8|1518104903.91005|Я записалась на __русскым__ __языкам__ , астрономию , историю Восточной Европы и физику .
8|1518105494.6298962|Да , а по __субботы__ я обычно занимаюсь в компьютерной лаборатории .
8|1518107478.143587|Кроме того , я работаю в __медицинский__ центре университета , перевожу с русского на английский .
8|1518105635.076697|В __этот__ воскресенье я была у бабушки , а потом у __подругы__ 
8|1518107372.3808558|В __этом__ воскресенье я была у бабушки , а потом у подруги 
8|1518107209.2913923|Кроме того , я работаю в медицинском центре университета , перевожу с русского на английский  , я работаю в медицинском центре университета , перевожу с __русских__ на английский .
9|1518130619.8773565|Для справки – за весь период  Великой Отечественной войны естественная смертность взрослого __население__ Советского Союза по __сравнение__ с мирным временем __возрасти__ всего на тринадцать процентов .
